id,name,latitude,longitude
b1,bStop1,37.833,-108.483
b2,bStop2,38.452,-108.315
b3,bStop3,40.899,-108.855
b4,bStop4,37.481,-106.625
b5,bStop5,39.456,-107.658
b6,bStop6,40.193,-106.837
b7,bStop7,37.556,-105.431
b8,bStop8,38.675,-105.993
b9,bStop9,40.359,-105.285
1,1,37.160,-108.826
2,2,37.866,-108.895
3,3,38.687,-108.458
4,4,39.434,-108.298
5,5,40.583,-108.618
6,6,37.620,-107.956
7,7,38.004,-107.773
8,8,38.930,-108.115
9,9,39.802,-107.559
10,10,40.178,-108.211
11,11,37.353,-107.363
12,12,38.207,-107.359
13,13,38.750,-107.292
14,14,39.451,-107.287
15,15,40.583,-107.427
16,16,37.127,-106.394
17,17,38.355,-106.662
18,18,39.240,-106.640
19,19,39.931,-106.049
20,20,40.719,-106.341
21,21,37.106,-105.295
22,22,37.997,-105.589
23,23,38.955,-105.767
24,24,39.917,-105.757
25,25,40.740,-105.564
26,26,37.346,-104.788
27,27,38.184,-104.891
28,28,39.044,-104.741
29,29,39.745,-104.911
30,30,40.154,-104.529
31,31,37.109,-103.968
32,32,38.270,-103.805
33,33,38.503,-103.935
34,34,39.496,-103.814
35,35,40.682,-104.243
36,36,37.395,-103.339
37,37,37.753,-103.057
38,38,39.012,-103.671
39,39,39.352,-103.545
40,40,40.073,-103.488
41,41,37.605,-102.711
42,42,38.300,-102.578
43,43,38.865,-102.948
44,44,39.551,-102.864
45,45,40.558,-102.861
b10,bStop10,37.490,-105.056
b11,bStop11,39.307,-103.861
b12,bStop12,39.992,-104.466
b13,bStop13,37.537,-103.682
b14,bStop14,38.612,-103.299
b15,bStop15,39.954,-103.268
